,Compound,Date,Negative,Neutral,Positive,Source,Text
59,0.0772,2018-03-27 00:00:19,0.544,0.218,0.238,CNN,Austin seeks peace amid the grief https://t.co/ceCQor8DX3 | via @CNNOpinion https://t.co/aK3Q1IB0o5
159,0.0772,2018-03-27 00:00:19,0.544,0.218,0.238,CNN,Austin seeks peace amid the grief https://t.co/ceCQor8DX3 | via @CNNOpinion https://t.co/aK3Q1IB0o5
184,-0.5574,2018-03-27 00:02:02,0.735,0.265,0.0,nytimes,RT @maggieNYT: NEWS: Trump Talks of Bringing Back Rob Porter  https://t.co/1BleAd2VZN
84,-0.5574,2018-03-27 00:02:02,0.735,0.265,0.0,nytimes,RT @maggieNYT: NEWS: Trump Talks of Bringing Back Rob Porter  https://t.co/1BleAd2VZN
58,0.25,2018-03-27 00:05:09,0.707,0.121,0.172,CNN,You'll know the gun control movement is winning when... | Analysis by CNN's Gregory Krieg https://t.co/iT8rw9CkXI https://t.co/bOlllLHuu9
158,0.25,2018-03-27 00:05:09,0.707,0.121,0.172,CNN,You'll know the gun control movement is winning when... | Analysis by CNN's Gregory Krieg https://t.co/iT8rw9CkXI https://t.co/bOlllLHuu9
157,0.0,2018-03-27 00:05:30,1.0,0.0,0.0,CNN,Starting now: Anderson Cooper's interview with Stormy Daniels replays now on CNN. https://t.co/UYpqI3esEb https://t.co/87zXwajZTN
57,0.0,2018-03-27 00:05:30,1.0,0.0,0.0,CNN,Starting now: Anderson Cooper's interview with Stormy Daniels replays now on CNN. https://t.co/UYpqI3esEb https://t.co/87zXwajZTN
156,-0.7845,2018-03-27 00:10:06,0.669,0.331,0.0,CNN,"President Trump has stayed in touch with Rob Porter, a former aide who resigned after accusations of spousal abuse… https://t.co/0CcPRf1i0Y"
56,-0.7845,2018-03-27 00:10:06,0.669,0.331,0.0,CNN,"President Trump has stayed in touch with Rob Porter, a former aide who resigned after accusations of spousal abuse… https://t.co/0CcPRf1i0Y"
65,-0.0516,2018-03-27 00:11:00,0.76,0.124,0.116,FoxNews,"""Everything that could go wrong was shutting down inside of me.”

Rocker @alicecooper, who says he  saw his good fr… https://t.co/0O2BcQWf72"
165,-0.0516,2018-03-27 00:11:00,0.76,0.124,0.116,FoxNews,"""Everything that could go wrong was shutting down inside of me.”

Rocker @alicecooper, who says he  saw his good fr… https://t.co/0O2BcQWf72"
55,-0.2584,2018-03-27 00:12:51,0.915,0.085,0.0,CNN,"RT @OutFrontCNN: ""You just can't have a person in that position who does not have a full security clearance"" - Joan Walsh of The Nation res…"
155,-0.2584,2018-03-27 00:12:51,0.915,0.085,0.0,CNN,"RT @OutFrontCNN: ""You just can't have a person in that position who does not have a full security clearance"" - Joan Walsh of The Nation res…"
